latency,duration,channel,type
1,NaN,0,boundary
5112,1,0,S  1
6631,1,0,S  2
9417,1,0,S  1
10936,1,0,S  2
13722,1,0,S  1
15241,1,0,S  2
18027,1,0,S  1
19546,1,0,S  2
22332,1,0,S  1
23851,1,0,S  2
26637,1,0,S  1
28156,1,0,S  2
30942,1,0,S  1
32461,1,0,S  2
35247,1,0,S  1
36767,1,0,S  2
39552,1,0,S  1
41072,1,0,S  2
43857,1,0,S  1
45377,1,0,S  2
48162,1,0,S  1
49682,1,0,S  2
52467,1,0,S  1
53987,1,0,S  2
56772,1,0,S  1
58292,1,0,S  2
61078,1,0,S  1
62597,1,0,S  2
65383,1,0,S  1
66902,1,0,S  2
69688,1,0,S  1
71207,1,0,S  2
73993,1,0,S  1
75512,1,0,S  2
78298,1,0,S  1
79817,1,0,S  2
82603,1,0,S  1
84122,1,0,S  2
86908,1,0,S  1
88428,1,0,S  2
91213,1,0,S  1
92733,1,0,S  2
95518,1,0,S  1
97038,1,0,S  2
99823,1,0,S  1
101343,1,0,S  2
104128,1,0,S  1
105648,1,0,S  2
108434,1,0,S  1
109953,1,0,S  2
112739,1,0,S  1
114258,1,0,S  2
117044,1,0,S  1
118563,1,0,S  2
121349,1,0,S  1
122868,1,0,S  2
125654,1,0,S  1
127173,1,0,S  2
129959,1,0,S  1
131478,1,0,S  2
134264,1,0,S  1
135784,1,0,S  2
138569,1,0,S  1
140089,1,0,S  2
142874,1,0,S  1
144394,1,0,S  2
147179,1,0,S  1
148699,1,0,S  2
151484,1,0,S  1
153004,1,0,S  2
155790,1,0,S  1
157309,1,0,S  2
160095,1,0,S  1
161614,1,0,S  2
164400,1,0,S  1
165919,1,0,S  2
168705,1,0,S  1
170224,1,0,S  2
173010,1,0,S  1
174529,1,0,S  2
