ExpTrialList.Sample,ExpTrialList,CueName
1,3,left hand
2,4,right hand
3,2,right hand
4,1,left hand
5,2,right hand
6,1,left hand
7,3,left hand
8,4,right hand
9,2,right hand
10,4,right hand
11,3,left hand
12,1,left hand
13,4,right hand
14,3,left hand
15,2,right hand
16,1,left hand
17,2,right hand
18,3,left hand
19,4,right hand
20,1,left hand
21,4,right hand
22,2,right hand
23,3,left hand
24,1,left hand
25,4,right hand
26,2,right hand
27,1,left hand
28,3,left hand
29,1,left hand
30,4,right hand
31,3,left hand
32,2,right hand
33,4,right hand
34,2,right hand
35,3,left hand
36,1,left hand
37,3,left hand
38,2,right hand
39,1,left hand
40,4,right hand
