     Fp1,0.95106,0.30902
      Fz,0.70711,0
      F3,0.67303,0.54501
      F7,0.58779,0.80902
     FT9,0.28445,0.87545
     FC5,0.34973,0.8656
     FC1,0.37049,0.35778
      C3,0,0.70711
      T7,0,1
     TP9,-0.28445,0.87545
     CP5,-0.33457,0.87157
     CP1,-0.37049,0.35778
      Pz,-0.70711,0
      P3,-0.67303,0.54501
      P7,-0.58779,0.80902
      O1,-0.95106,0.30902
      Oz,-1,0
      O2,-0.95106,-0.30902
      P4,-0.67303,-0.54501
      P8,-0.58779,-0.80902
    TP10,-0.28445,-0.87545
     CP6,-0.33457,-0.87157
     CP2,-0.37049,-0.35778
      Cz,0,0
      C4,0,-0.70711
      T8,0,-1
    FT10,0.28445,-0.87545
     FC6,0.33457,-0.87157
     FC2,0.37049,-0.35778
      F4,0.67303,-0.54501
      F8,0.58779,-0.80902
